M,N,K,latency_ns
1,28672,14336,593919.99
1,28672,25600,1037824.03
1,28672,27648,1115136.03
1,28672,28672,1155071.97
4,128,128,20480.00
4,128,256,20480.00
4,128,512,20480.00
4,128,1024,22528.00
4,128,2048,23552.00
4,128,3072,24064.00
4,128,4096,23552.00
4,128,5120,24064.00
4,128,8192,23552.00
4,128,11008,23552.00
4,128,13824,24576.00
4,128,14336,24576.00
4,128,25600,24576.00
4,128,27648,24576.00
4,128,28672,24576.00
4,256,128,20480.00
4,256,256,20480.00
4,256,512,21504.00
4,256,1024,21504.00
4,256,2048,23552.00
4,256,3072,23552.00
4,256,4096,23552.00
4,256,5120,23552.00
4,256,8192,23552.00
4,256,11008,24576.00
4,256,13824,24576.00
4,256,14336,24576.00
4,256,25600,24576.00
4,256,27648,24576.00
4,256,28672,24576.00
4,512,128,20480.00
4,512,256,20480.00
4,512,512,21504.00
4,512,1024,20992.00
4,512,2048,23552.00
4,512,3072,23552.00
4,512,4096,23552.00
4,512,5120,23552.00
4,512,8192,23552.00
4,512,11008,23552.00
4,512,13824,23552.00
4,512,14336,23552.00
4,512,25600,27648.00
4,512,27648,27648.00
4,512,28672,31744.00
4,1024,128,20480.00
4,1024,256,20480.00
4,1024,512,20480.00
4,1024,1024,21504.00
4,1024,2048,24064.00
4,1024,3072,24576.00
4,1024,4096,23552.00
4,1024,5120,23552.00
4,1024,8192,25600.00
4,1024,11008,27648.00
4,1024,13824,30720.00
4,1024,14336,30720.00
4,1024,25600,54272.00
4,1024,27648,57344.00
4,1024,28672,58368.00
4,2048,128,20480.00
4,2048,256,21504.00
4,2048,512,20480.00
4,2048,1024,20480.00
4,2048,2048,23552.00
4,2048,3072,23552.00
4,2048,4096,24576.00
4,2048,5120,26112.00
4,2048,8192,35840.00
4,2048,11008,49152.00
4,2048,13824,57344.00
4,2048,14336,58368.00
4,2048,25600,93184.00
4,2048,27648,99328.00
4,2048,28672,101376.00
4,3072,128,20480.00
4,3072,256,20480.00
4,3072,512,20480.00
4,3072,1024,20480.00
4,3072,2048,22528.00
4,3072,3072,24576.00
4,3072,4096,26624.00
4,3072,5120,28672.00
4,3072,8192,54272.00
4,3072,11008,66560.00
4,3072,13824,78848.00
4,3072,14336,81408.00
4,3072,25600,131072.00
4,3072,27648,141312.00
4,3072,28672,144384.00
4,4096,128,21504.00
4,4096,256,21504.00
4,4096,512,21504.00
4,4096,1024,20480.00
4,4096,2048,22528.00
4,4096,3072,25600.00
4,4096,4096,33792.00
4,4096,5120,48128.00
4,4096,8192,65536.00
4,4096,11008,81920.00
4,4096,13824,98304.00
4,4096,14336,101376.00
4,4096,25600,167936.00
4,4096,27648,180224.00
4,4096,28672,185344.00
