q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,causal,dtype_bytes,latency_us
1,1,32,8,128,1,1,2,760.47
64,64,32,8,128,1,1,2,175.42
116,116,32,8,128,1,1,2,26.29
256,256,32,8,128,1,1,2,222.02
500,500,32,8,128,1,1,2,40.97
1024,1024,32,8,128,1,1,2,70.82
2000,2000,32,8,128,1,1,2,167.02
4096,4096,32,8,128,1,1,2,542.74
8192,8192,32,8,128,1,1,2,2024.70
