M,N,K,latency_ns
1,28672,14336,275487.99
1,28672,25600,480511.99
1,28672,27648,515663.98
1,28672,28672,533712.00
4,128,128,14880.00
4,128,256,14816.00
4,128,512,14752.00
4,128,1024,14656.00
4,128,2048,15568.00
4,128,3072,16816.00
4,128,4096,16896.00
4,128,5120,16640.00
4,128,8192,16896.00
4,128,11008,16896.00
4,128,13824,16960.00
4,128,14336,16944.00
4,128,25600,16848.00
4,128,27648,17088.00
4,128,28672,17472.00
4,256,128,14752.00
4,256,256,14672.00
4,256,512,14752.00
4,256,1024,14752.00
4,256,2048,15584.00
4,256,3072,16976.00
4,256,4096,17024.00
4,256,5120,16944.00
4,256,8192,17088.00
4,256,11008,17056.00
4,256,13824,16816.00
4,256,14336,17104.00
4,256,25600,17552.00
4,256,27648,17520.00
4,256,28672,17600.00
4,512,128,14848.00
4,512,256,14832.00
4,512,512,14752.00
4,512,1024,14736.00
4,512,2048,15504.00
4,512,3072,17024.00
4,512,4096,16944.00
4,512,5120,16704.00
4,512,8192,16960.00
4,512,11008,16944.00
4,512,13824,17824.00
4,512,14336,17616.00
4,512,25600,19104.00
4,512,27648,19296.00
4,512,28672,19520.00
4,1024,128,14736.00
4,1024,256,14944.00
4,1024,512,14800.00
4,1024,1024,14848.00
4,1024,2048,15824.00
4,1024,3072,16864.00
4,1024,4096,16688.00
4,1024,5120,16784.00
4,1024,8192,17392.00
4,1024,11008,18208.00
4,1024,13824,19200.00
4,1024,14336,18816.00
4,1024,25600,30944.00
4,1024,27648,32096.00
4,1024,28672,33024.00
4,2048,128,14752.00
4,2048,256,14768.00
4,2048,512,14816.00
4,2048,1024,14768.00
4,2048,2048,15520.00
4,2048,3072,16720.00
4,2048,4096,17696.00
4,2048,5120,17760.00
4,2048,8192,19744.00
4,2048,11008,27584.00
4,2048,13824,32768.00
4,2048,14336,32928.00
4,2048,25600,46976.00
4,2048,27648,49504.00
4,2048,28672,51088.00
4,3072,128,14656.00
4,3072,256,14800.00
4,3072,512,14816.00
4,3072,1024,14704.00
4,3072,2048,15552.00
4,3072,3072,17824.00
4,3072,4096,18224.00
4,3072,5120,19520.00
4,3072,8192,30448.00
4,3072,11008,36464.00
4,3072,13824,41616.00
4,3072,14336,42320.00
4,3072,25600,63840.00
4,3072,27648,68144.00
4,3072,28672,69824.00
4,4096,128,14720.00
4,4096,256,14624.00
4,4096,512,14672.00
4,4096,1024,14656.00
4,4096,2048,15456.00
4,4096,3072,17184.00
4,4096,4096,18528.00
4,4096,5120,22352.00
4,4096,8192,35424.00
4,4096,11008,42448.00
4,4096,13824,49424.00
4,4096,14336,51104.00
4,4096,25600,79728.00
4,4096,27648,85584.00
4,4096,28672,88048.00
4,5120,128,14800.00
4,5120,256,14720.00
4,5120,512,14832.00
4,5120,1024,15376.00
4,5120,2048,16416.00
4,5120,3072,18656.00
4,5120,4096,23152.00
4,5120,5120,29824.00
4,5120,8192,41264.00
4,5120,11008,50528.00
4,5120,13824,58752.00
4,5120,14336,60544.00
4,5120,25600,97040.00
4,5120,27648,103664.00
4,5120,28672,108560.00
4,8192,128,14768.00
4,8192,256,14912.00
4,8192,512,14752.00
4,8192,1024,15680.00
4,8192,2048,18432.00
4,8192,3072,28608.00
4,8192,4096,34064.00
4,8192,5120,39008.00
4,8192,8192,54992.00
4,8192,11008,69264.00
4,8192,13824,83344.00
4,8192,14336,86512.00
4,8192,25600,145760.00
4,8192,27648,157072.00
4,8192,28672,162000.00
4,11008,128,14784.00
4,11008,256,14720.00
4,11008,512,14928.00
4,11008,1024,16288.00
4,11008,2048,26208.00
4,11008,3072,35392.00
4,11008,4096,40800.00
4,11008,5120,50896.00
4,11008,8192,74816.00
4,11008,11008,93376.00
4,11008,13824,115920.00
4,11008,14336,117792.00
4,11008,25600,197760.00
4,11008,27648,211104.01
4,11008,28672,219888.00
4,13824,128,14736.00
4,13824,256,14752.00
4,13824,512,15712.00
4,13824,1024,17440.00
4,13824,2048,30624.00
4,13824,3072,39264.00
4,13824,4096,48016.00
4,13824,5120,57072.00
4,13824,8192,85520.00
4,13824,11008,111248.00
4,13824,13824,138608.00
4,13824,14336,142400.00
4,13824,25600,240128.00
4,13824,27648,257744.00
4,13824,28672,266624.00
4,14336,128,14800.00
4,14336,256,14688.00
4,14336,512,15456.00
4,14336,1024,17536.00
4,14336,2048,31376.00
4,14336,3072,40528.00
4,14336,4096,51760.00
4,14336,5120,62720.00
4,14336,8192,86576.00
4,14336,11008,112192.00
4,14336,13824,140320.00
4,14336,14336,145600.01
4,14336,25600,250079.99
4,14336,27648,268336.00
4,14336,28672,277872.01
4,25600,128,14784.00
4,25600,256,15568.00
4,25600,512,16992.00
4,25600,1024,29488.00
4,25600,2048,45760.00
4,25600,3072,62016.00
4,25600,4096,78704.00
4,25600,5120,94768.00
4,25600,8192,148656.00
4,25600,11008,202944.00
4,25600,13824,242528.01
4,25600,14336,249824.00
4,25600,25600,428767.99
4,25600,27648,462527.99
4,25600,28672,485775.99
4,27648,128,14768.00
4,27648,256,15680.00
4,27648,512,17424.00
