16,16,4,8,8,os,71,22.535
8,32,64,8,8,os,311,82.315
16,32,4,8,8,os,143,22.378
4,64,32,8,8,os,367,34.877
16,64,4,8,8,os,287,22.3
8,16,128,8,8,os,283,90.459
4,32,8,8,8,os,87,18.391
8,64,8,8,8,os,175,36.571
8,64,4,8,8,os,143,22.378
4,64,16,8,8,os,239,26.778
16,32,32,8,8,os,367,69.755
16,64,16,8,8,os,479,53.445
32,16,2,8,8,os,127,12.598
8,64,32,8,8,os,367,69.755
8,32,4,8,8,os,71,22.535
4,64,8,8,8,os,175,18.286
4,32,64,8,8,os,311,41.158
16,16,64,8,8,os,311,82.315
8,64,16,8,8,os,239,53.556
8,16,8,8,8,os,43,37.209
16,64,2,8,8,os,255,12.549
16,16,32,8,8,os,183,69.945
16,64,8,8,8,os,351,36.467
1,8,4,8,8,os,17,2.941
16,32,2,8,8,os,127,12.598
8,32,32,8,8,os,183,69.945
16,64,1,8,8,os,239,6.695
8,16,64,8,8,os,155,82.581
1,64,1,8,8,os,119,0.84
16,32,16,8,8,os,239,53.556
64,32,1,8,8,os,479,6.681
32,32,16,8,8,os,479,53.445
1,64,32,8,8,os,367,8.719
4,32,32,8,8,os,183,34.973
1,64,16,8,8,os,239,6.695
16,16,16,8,8,os,119,53.782
64,64,1,8,8,os,959,6.674
8,32,16,8,8,os,119,53.782
1,64,8,8,8,os,175,4.571
8,16,32,8,8,os,91,70.33
16,32,8,8,8,os,175,36.571
4,32,16,8,8,os,119,26.891
64,32,8,8,8,os,703,36.415
16,16,8,8,8,os,87,36.782
8,32,8,8,8,os,87,36.782
1,64,4,8,8,os,143,2.797
64,64,4,8,8,os,1151,22.242
8,16,16,8,8,os,59,54.237
64,32,4,8,8,os,575,22.261
1,64,2,8,8,os,127,1.575
64,64,2,8,8,os,1023,12.512
64,32,2,8,8,os,511,12.524
8,8,256,8,8,os,269,95.167
4,16,128,8,8,os,283,45.230
8,8,128,8,8,os,141,90.780
2,32,64,8,8,os,311,20.579
4,16,64,8,8,os,155,41.290
8,8,64,8,8,os,77,83.117
2,32,32,8,8,os,183,17.486
4,16,32,8,8,os,91,35.165
8,8,32,8,8,os,45,71.111
2,64,32,8,8,os,367,17.439
8,128,16,8,8,os,479,53.445
4,128,16,8,8,os,479,26.722
8,128,8,8,8,os,351,36.467
32,32,8,8,8,os,351,36.467
2,32,16,8,8,os,119,13.445
4,16,16,8,8,os,59,27.119
8,8,16,8,8,os,29,55.172
2,32,8,8,8,os,87,9.195
8,16,4,8,8,os,35,22.857
4,32,4,8,8,os,71,11.268
4,16,8,8,8,os,43,18.605
8,32,2,8,8,os,63,12.698
8,8,8,8,8,os,21,38.095
2,64,16,8,8,os,239,13.389
2,64,8,8,8,os,175,9.143
4,64,4,8,8,os,143,11.189
8,64,2,8,8,os,127,12.598
2,128,16,8,8,os,479,13.361
4,128,8,8,8,os,351,18.234
8,128,4,8,8,os,287,22.300
2,128,8,8,8,os,351,9.117
4,128,4,8,8,os,287,11.150
8,128,2,8,8,os,255,12.549
32,32,4,8,8,os,287,22.300
32,32,2,8,8,os,255,12.549
32,32,1,8,8,os,239,6.695
32,16,1,8,8,os,119,6.723
16,16,2,8,8,os,63,12.698
8,32,1,8,8,os,59,6.780
16,16,1,8,8,os,59,6.780
32,128,4,8,8,os,1151,22.242
128,64,2,8,8,os,2047,12.506
128,128,1,8,8,os,3839,6.668
32,128,2,8,8,os,1023,12.512
128,64,1,8,8,os,1919,6.670
