gpu,prefill_tokens,prefill_ms,decode_ref_ms,T32_ms,T1_ms,runs
H100,64,3.38,4.24,139.0,7.6,10
H100,128,4.34,4.22,139.5,8.6,10
H100,256,6.04,4.22,141.1,10.3,10
H100,512,9.49,4.22,144.5,13.7,10
H100,1024,16.84,4.19,151.0,21.0,10
H100,2048,24.61,4.34,163.5,29.0,10
H100,4096,36.13,4.85,191.3,41.0,10
H100,8192,51.68,5.87,239.4,57.5,10
