M,N,K,measured_ms
1.0,8192.0,14336.0,0.087776
1.0,8192.0,16384.0,0.098464
1.0,8192.0,28672.0,0.04525
1.0,8192.0,29568.0,0.04518
1.0,9216.0,7168.0,0.04483
1.0,10240.0,1024.0,0.018336
1.0,10240.0,2048.0,0.02464
1.0,10240.0,2880.0,0.032832
1.0,10240.0,3072.0,0.034176
1.0,10240.0,3584.0,0.03744
1.0,10240.0,4096.0,0.040608
1.0,10240.0,5120.0,0.047808
1.0,10240.0,6144.0,0.054176
1.0,10240.0,7168.0,0.061184
1.0,10240.0,8192.0,0.04474
1.0,10240.0,10240.0,0.080576
1.0,10240.0,12288.0,0.094912
1.0,10240.0,14336.0,0.108672
1.0,10240.0,16384.0,0.121696
1.0,12288.0,1024.0,0.01936
1.0,12288.0,2048.0,0.03024
1.0,12288.0,2880.0,0.036928
1.0,12288.0,3072.0,0.038528
1.0,12288.0,3584.0,0.043104
1.0,12288.0,4096.0,0.01645
1.0,12288.0,5120.0,0.055424
1.0,12288.0,6144.0,0.062976
1.0,12288.0,7168.0,0.071328
1.0,12288.0,8192.0,0.07776
1.0,12288.0,10240.0,0.094752
1.0,12288.0,12288.0,0.110176
1.0,12288.0,14336.0,0.131264
1.0,12288.0,16384.0,0.147168
1.0,12800.0,4096.0,0.02413
1.0,14336.0,1024.0,0.019424
1.0,14336.0,2048.0,0.034976
1.0,14336.0,2880.0,0.043584
1.0,14336.0,3072.0,0.044512
1.0,14336.0,3584.0,0.06346
1.0,14336.0,4096.0,0.02336
1.0,14336.0,5120.0,0.065952
1.0,14336.0,6144.0,0.075936
1.0,14336.0,7168.0,0.086592
1.0,14336.0,8192.0,0.097568
1.0,14336.0,10240.0,0.115776
1.0,14336.0,12288.0,0.136224
1.0,14336.0,14336.0,0.15776
1.0,14336.0,16384.0,0.183712
1.0,16384.0,1024.0,0.019392
1.0,16384.0,2048.0,0.034912
1.0,16384.0,2880.0,0.042976
1.0,16384.0,3072.0,0.04496
1.0,16384.0,3584.0,0.050112
1.0,16384.0,4096.0,0.055616
1.0,16384.0,5120.0,0.066016
1.0,16384.0,6144.0,0.076384
1.0,16384.0,7168.0,0.086816
1.0,16384.0,8192.0,0.097344
1.0,16384.0,10240.0,0.11824
1.0,16384.0,12288.0,0.13872
1.0,16384.0,14336.0,0.159296
1.0,16384.0,16384.0,0.18016
1.0,17408.0,5120.0,0.02362
1.0,18944.0,3584.0,0.0399399999999999
1.0,20480.0,1024.0,0.02496
1.0,20480.0,2048.0,0.041152
1.0,20480.0,2880.0,0.052256
1.0,20480.0,3072.0,0.054144
1.0,20480.0,3584.0,0.061024
1.0,20480.0,4096.0,0.067744
1.0,20480.0,5120.0,0.0816
1.0,20480.0,6144.0,0.094688
1.0,20480.0,7168.0,0.10064
1.0,20480.0,8192.0,0.121504
1.0,20480.0,10240.0,0.148544
1.0,20480.0,12288.0,0.175264
1.0,20480.0,14336.0,0.202208
1.0,20480.0,16384.0,0.229088
1.0,28672.0,1024.0,0.034176
1.0,28672.0,2048.0,0.050688
1.0,28672.0,2880.0,0.066208
1.0,28672.0,3072.0,0.06928
1.0,28672.0,3584.0,0.078368
1.0,28672.0,4096.0,0.087584
1.0,28672.0,5120.0,0.107616
1.0,28672.0,6144.0,0.125856
1.0,28672.0,7168.0,0.144128
1.0,28672.0,8192.0,0.04938
1.0,28672.0,10240.0,0.198336
