M,N,K,measured_ms
32,128256,8192,2.528256
32,131072,2880,0.925696
32,152064,3584,1.311744
32,152064,8192,2.927616
32,248320,4096,2.384896
32,248320,5120,2.971648
32,256000,3584,2.179072
64,2880,2880,0.076800
64,3584,3584,0.076800
64,3584,14336,0.177152
64,3584,18944,0.220160
64,3600,2880,0.073728
64,4096,4096,0.081920
64,4096,12288,0.160768
64,4096,12800,0.165888
64,4096,14336,0.179200
64,4608,3584,0.080896
64,5120,5112,0.108544
64,5120,17408,0.245760
64,6144,4096,0.109568
64,6816,5120,0.126976
64,7168,3584,0.102400
64,7168,7168,0.164864
64,7168,20480,0.396288
64,8192,8192,0.284672
64,8192,28672,0.605184
64,8192,29568,0.622592
64,9216,7168,0.352256
64,10240,8192,0.233472
64,12288,4096,0.212992
64,12800,4096,0.206848
64,14336,3584,0.310272
64,14336,4096,0.345088
64,17408,5120,0.316416
64,18944,3584,0.266240
64,20480,7168,0.509952
64,28672,8192,0.919552
64,29568,8192,0.709632
64,32000,4096,0.377856
64,49155,4096,0.788480
64,64000,7168,1.184768
64,128256,4096,1.301504
64,128256,8192,2.552832
64,131072,2880,0.940032
64,152064,3584,1.330176
64,152064,8192,2.964480
64,248320,4096,2.430976
64,248320,5120,3.040256
64,256000,3584,2.219008
128,2880,2880,0.081920
128,3584,3584,0.110592
128,3584,14336,0.274432
128,3584,18944,0.349184
128,3600,2880,0.093184
128,4096,4096,0.116736
128,4096,12288,0.263168
128,4096,12800,0.273408
128,4096,14336,0.292864
128,4608,3584,0.100352
128,5120,5112,0.129024
128,5120,17408,0.344064
128,6144,4096,0.152576
128,6816,5120,0.176128
128,7168,3584,0.185344
128,7168,7168,0.312320
128,7168,20480,0.606208
128,8192,8192,0.323584
128,8192,28672,1.054720
128,8192,29568,1.088512
128,9216,7168,0.301056
128,10240,8192,0.337920
128,12288,4096,0.254976
128,12800,4096,0.254976
128,14336,3584,0.293888
128,14336,4096,0.339968
128,17408,5120,0.407552
128,18944,3584,0.304128
128,20480,7168,0.548864
128,28672,8192,0.911360
128,29568,8192,0.950272
128,32000,4096,0.654336
128,49155,4096,1.049600
128,64000,7168,2.118656
128,128256,4096,2.103296
128,128256,8192,4.192256
128,131072,2880,1.524736
128,152064,3584,2.159616
128,152064,8192,4.825088
128,248320,4096,3.732480
128,248320,5120,4.841472
128,256000,3584,3.601408
256,2880,2880,0.120832
256,3584,3584,0.173056
256,3584,14336,0.575488
256,3584,18944,0.723968
256,3600,2880,0.139264
256,4096,4096,0.165888
256,4096,12288,0.422912
256,4096,12800,0.438272
256,4096,14336,0.494592
256,4608,3584,0.178176
256,5120,5112,0.296960
256,5120,17408,0.878592
256,6144,4096,0.250880
256,6816,5120,0.295936
256,7168,3584,0.233472
256,7168,7168,0.402432
256,7168,20480,1.128448
256,8192,8192,0.614400
256,8192,28672,1.661952
256,8192,29568,1.740800
256,9216,7168,0.543744
256,10240,8192,0.614400
256,12288,4096,0.617472
256,12800,4096,0.466944
256,14336,3584,0.411648
256,14336,4096,0.464896
256,17408,5120,0.772096
256,18944,3584,0.551936
256,20480,7168,1.047552
256,28672,8192,1.766400
256,29568,8192,1.767424
256,32000,4096,1.195008
256,49155,4096,1.831936
256,64000,7168,3.614720
256,128256,4096,3.835904
256,128256,8192,7.826432
256,131072,2880,2.839552
256,152064,3584,3.982336
256,152064,8192,8.951808
256,248320,4096,7.232512
256,248320,5120,9.073664
256,256000,3584,6.714368
512,2880,2880,0.254976
512,3584,3584,0.307200
512,3584,14336,1.073152
512,3584,18944,1.349632
512,3600,2880,0.239616
512,4096,4096,0.323584
512,4096,12288,0.876544
512,4096,12800,0.912384
512,4096,14336,1.024000
512,4608,3584,0.285696
512,5120,5112,0.391168
512,5120,17408,1.225728
512,6144,4096,0.443392
512,6816,5120,0.598016
512,7168,3584,0.479232
512,7168,7168,0.803840
512,7168,20480,2.830336
512,8192,8192,1.152000
512,8192,28672,4.006912
512,8192,29568,4.163584
512,9216,7168,1.045504
512,10240,8192,1.178624
512,12288,4096,0.751616
512,12800,4096,0.825344
512,14336,3584,0.813056
512,14336,4096,0.923648
512,17408,5120,1.508352
512,18944,3584,1.043456
512,20480,7168,2.123776
512,28672,8192,3.569664
512,29568,8192,3.601408
512,32000,4096,1.980416
512,49155,4096,3.816448
512,64000,7168,6.681600
512,128256,4096,7.402496
512,128256,8192,14.621696
512,131072,2880,5.347328
512,152064,3584,7.729152
512,152064,8192,17.112064
512,248320,4096,14.170112
512,248320,5120,17.911808
512,256000,3584,12.806144
1024,2880,2880,0.303104
1024,3584,3584,0.420864
1024,3584,14336,1.515520
1024,3584,18944,1.955840
1024,3600,2880,0.344064
1024,4096,4096,0.551936
1024,4096,12288,1.769472
1024,4096,12800,1.785856
1024,4096,14336,1.993728
1024,4608,3584,0.534528
1024,5120,5112,0.743424
1024,5120,17408,2.485248
1024,6144,4096,0.914432
1024,6816,5120,1.113088
1024,7168,3584,0.796672
1024,7168,7168,1.536000
1024,7168,20480,4.376576
1024,8192,8192,2.087936
1024,8192,28672,6.758400
1024,8192,29568,7.025664
1024,9216,7168,2.054144
1024,10240,8192,2.339840
1024,12288,4096,1.503232
1024,12800,4096,1.503232
1024,14336,3584,1.579008
1024,14336,4096,1.779712
1024,17408,5120,2.569216
1024,18944,3584,2.073600
1024,20480,7168,4.101120
1024,28672,8192,6.465536
1024,29568,8192,6.981632
1024,32000,4096,3.831808
1024,49155,4096,7.300096
1024,64000,7168,12.814336
