M,N,K,measured_ms
32,7168,7168,0.050210000000000005
32,7168,20480,0.15517
32,8192,8192,0.16066999999999998
32,8192,28672,0.050210000000000005
32,8192,29568,0.06058
32,9216,7168,0.040380000000000006
32,10240,8192,0.04109
32,12288,4096,0.03907
32,12800,4096,0.04387
32,14336,3584,0.06624
32,14336,4096,0.054270000000000006
32,17408,5120,0.10262
32,18944,3584,0.15916999999999998
32,20480,7168,0.15878
32,28672,8192,0.08899
32,29568,8192,0.46365
32,32000,4096,0.34675
32,49155,4096,0.68032
32,64000,7168,0.24899000000000002
32,128256,4096,0.35402
32,128256,8192,0.7929299999999999
32,131072,2880,0.65683
32,152064,3584,0.8182100000000001
32,152064,8192,0.59597
32,248320,4096,0.01194
32,248320,5120,0.013859999999999999
32,256000,3584,0.04336
64,2880,2880,0.05373
64,3584,3584,0.012740000000000001
64,3584,14336,0.01763
64,3584,18944,0.03984000000000001
64,3600,2880,0.04147
64,4096,4096,0.04579
64,4096,12288,0.01651
64,4096,12800,0.023620000000000002
64,4096,14336,0.06525
64,4608,3584,0.02422
64,5120,5112,0.02934
64,5120,17408,0.024030000000000003
64,6144,4096,0.04061
64,6816,5120,0.10253000000000001
64,7168,3584,0.05101
64,7168,7168,0.15830000000000002
64,7168,20480,0.16208000000000003
64,8192,8192,0.05152
64,8192,28672,0.06355
64,8192,29568,0.03965
64,9216,7168,0.04224
64,10240,8192,0.03939
64,12288,4096,0.04419
64,12800,4096,0.06701
64,14336,3584,0.05376
64,14336,4096,0.10886
64,17408,5120,0.15872
64,18944,3584,0.16096000000000002
64,20480,7168,0.09146
64,28672,8192,0.46527999999999997
64,29568,8192,0.36317000000000005
64,32000,4096,0.72138
64,49155,4096,0.28253
64,64000,7168,0.35795
64,128256,4096,0.79674
64,128256,8192,0.66534
64,131072,2880,0.8274199999999999
64,152064,3584,0.6522899999999999
64,152064,8192,0.012220000000000002
64,248320,4096,0.015519999999999999
64,248320,5120,0.04464
64,256000,3584,0.053020000000000005
128,2880,2880,0.013890000000000001
128,3584,3584,0.01936
128,3584,14336,0.041890000000000004
128,3584,18944,0.04554
128,3600,2880,0.05094
128,4096,4096,0.01834
128,4096,12288,0.0249
128,4096,12800,0.06848
128,4096,14336,0.02416
128,4608,3584,0.03098
128,5120,5112,0.024260000000000004
128,5120,17408,0.040100000000000004
128,6144,4096,0.10736
128,6816,5120,0.05178
128,7168,3584,0.16378
128,7168,7168,0.16749
128,7168,20480,0.05117
128,8192,8192,0.0625
128,8192,28672,0.040380000000000006
128,8192,29568,0.04259
128,9216,7168,0.041890000000000004
128,10240,8192,0.04646
128,12288,4096,0.06559999999999999
128,12800,4096,0.05178
128,14336,3584,0.09994
128,14336,4096,0.16227000000000003
128,17408,5120,0.16538
128,18944,3584,0.09334
128,20480,7168,0.48032
128,28672,8192,0.36163
128,29568,8192,0.6929299999999999
128,32000,4096,0.26419
128,49155,4096,0.37875000000000003
128,64000,7168,0.83443
128,128256,4096,0.6832
128,128256,8192,0.84813
128,131072,2880,0.63139
128,152064,3584,0.0136
128,152064,8192,0.017920000000000002
128,248320,4096,0.0536
128,248320,5120,0.07648
128,256000,3584,0.01568
256,2880,2880,0.02272
256,3584,3584,0.06454000000000001
256,3584,14336,0.06509000000000001
256,3584,18944,0.07347
256,3600,2880,0.0217
256,4096,4096,0.03789
256,4096,12288,0.10029
256,4096,12800,0.02851
256,4096,14336,0.03789
256,4608,3584,0.027780000000000003
256,5120,5112,0.05024
256,5120,17408,0.15158000000000002
256,6144,4096,0.07216
256,6816,5120,0.21562
256,7168,3584,0.22266
256,7168,7168,0.07590000000000001
256,7168,20480,0.09251000000000001
256,8192,8192,0.04493
256,8192,28672,0.05670000000000001
256,8192,29568,0.0503
256,9216,7168,0.05837
256,10240,8192,0.09168000000000001
256,12288,4096,0.06842000000000001
256,12800,4096,0.14176
256,14336,3584,0.23408
256,14336,4096,0.2359
256,17408,5120,0.13043000000000002
256,18944,3584,0.90576
256,20480,7168,0.44698000000000004
256,28672,8192,0.82736
256,29568,8192,0.33203
256,32000,4096,0.45923
256,49155,4096,0.94435
256,64000,7168,0.85392
256,128256,4096,1.02
256,128256,8192,0.8022400000000001
256,131072,2880,0.019969999999999998
256,152064,3584,0.02605
256,152064,8192,0.10029
256,248320,4096,0.13152000000000003
256,248320,5120,0.024260000000000004
256,256000,3584,0.03171
512,2880,2880,0.09722
512,3584,3584,0.10086
512,3584,14336,0.11043000000000001
512,3584,18944,0.0344
512,3600,2880,0.05283
512,4096,4096,0.16358
512,4096,12288,0.04403
512,4096,12800,0.06298
512,4096,14336,0.0503
512,4608,3584,0.09859000000000001
512,5120,5112,0.26576
512,5120,17408,0.12163
512,6144,4096,0.37344
512,6816,5120,0.38042000000000004
512,7168,3584,0.12474
512,7168,7168,0.15165
512,7168,20480,0.09792000000000001
512,8192,8192,0.11408
512,8192,28672,0.1039
512,8192,29568,0.12358
512,9216,7168,0.1736
512,10240,8192,0.1279
512,12288,4096,0.25386000000000003
512,12800,4096,0.39594
512,14336,3584,0.41037
512,14336,4096,0.23818
512,17408,5120,1.79
512,18944,3584,0.83091
512,20480,7168,1.58
512,28672,8192,0.60224
512,29568,8192,0.80304
512,32000,4096,1.76
512,49155,4096,1.5
512,64000,7168,1.84
512,128256,4096,1.37
512,128256,8192,0.03302
512,131072,2880,0.04995
512,152064,3584,0.18931
512,152064,8192,0.24768
512,248320,4096,0.04186
512,248320,5120,0.05651
512,256000,3584,0.16666
1024,2880,2880,0.17421
1024,3584,3584,0.19408000000000003
1024,3584,14336,0.062079999999999996
1024,3584,18944,0.09722
1024,3600,2880,0.28454
1024,4096,4096,0.0952
1024,4096,12288,0.13312000000000002
1024,4096,12800,0.10314000000000001
1024,4096,14336,0.19791999999999998
1024,4608,3584,0.50854
1024,5120,5112,0.2265
1024,5120,17408,0.69626
1024,6144,4096,0.71725
1024,6816,5120,0.23382
1024,7168,3584,0.28026
1024,7168,7168,0.17382
1024,7168,20480,0.20992
1024,8192,8192,0.18784
1024,8192,28672,0.20966
1024,8192,29568,0.31562
1024,9216,7168,0.23565
1024,10240,8192,0.46678
1024,12288,4096,0.70774
1024,12800,4096,0.70298
1024,14336,3584,0.4176
1024,14336,4096,3.58
1024,17408,5120,1.54
1024,18944,3584,2.98
1024,20480,7168,1.13
1024,28672,8192,1.6
1024,29568,8192,3.51
1024,32000,4096,2.92
1024,49155,4096,3.6
1024,64000,7168,2.62
1024,128256,4096,0.06144
1024,128256,8192,0.10051
1024,131072,2880,0.35981
1024,152064,3584,0.47184
1024,152064,8192,0.07773000000000001
1024,248320,4096,0.11738
1024,248320,5120,0.31689999999999996
1024,256000,3584,0.32755
2048,2880,2880,0.36486
2048,3584,3584,0.11631999999999999
2048,3584,14336,0.18605000000000002
2048,3584,18944,0.5388200000000001
2048,3600,2880,0.17766
2048,4096,4096,0.23565
2048,4096,12288,0.18869999999999998
2048,4096,12800,0.35376
2048,4096,14336,0.9279700000000001
2048,4608,3584,0.41952
2048,5120,5112,1.35
2048,5120,17408,1.37
2048,6144,4096,0.41712
2048,6816,5120,0.51603
2048,7168,3584,0.32493
2048,7168,7168,0.34634
2048,7168,20480,0.33526
2048,8192,8192,0.3737
2048,8192,28672,0.57072
2048,8192,29568,0.4183
2048,9216,7168,0.88234
2048,10240,8192,1.34
2048,12288,4096,1.36
2048,12800,4096,0.8025599999999999
2048,14336,3584,7.31
2048,14336,4096,2.96
2048,17408,5120,5.8
2048,18944,3584,2.19
2048,20480,7168,3.13
2048,28672,8192,7.03
2048,29568,8192,5.72
2048,32000,4096,7.15
2048,49155,4096,5.19
2048,64000,7168,0.12403
2048,128256,4096,0.18614
2048,128256,8192,0.65213
2048,131072,2880,0.84797
2048,152064,3584,0.15459
2048,152064,8192,0.22365000000000002
2048,248320,4096,0.5970599999999999
2048,248320,5120,0.62246
2048,256000,3584,0.69552
4096,2880,2880,0.22621000000000002
4096,3584,3584,0.34643
4096,3584,14336,1.03
4096,3584,18944,0.32221
4096,3600,2880,0.44576
4096,4096,4096,0.33286000000000004
4096,4096,12288,0.61389
4096,4096,12800,1.68
4096,4096,14336,0.7895
4096,4608,3584,2.65
4096,5120,5112,2.69
4096,5120,17408,0.79155
4096,6144,4096,0.9848600000000001
4096,6816,5120,0.61222
4096,7168,3584,0.6472300000000001
4096,7168,7168,0.62582
4096,7168,20480,0.7024
4096,8192,8192,1.03
4096,8192,28672,0.7930900000000001
4096,8192,29568,1.69
4096,9216,7168,2.63
4096,10240,8192,2.74
