M,N,K,latency_us
256,128256,4096,6226.0
256,128256,8192,12327.0
256,152064,8192,14717.0
256,256000,3584,10856.0
512,1024,4096,211.54
512,1024,6144,313.168
512,1024,7168,365.744
512,1024,8192,416.571
512,2048,3584,197.013
512,3584,4096,426.988
512,3584,14336,1470.0
512,4096,3584,374.051
512,4096,4096,425.706
512,4096,12800,1310.0
512,4096,14336,1467.0
512,6144,6144,1210.0
512,6144,16384,2720.0
512,7168,7168,1420.0
512,7168,20480,4020.0
512,8192,8192,1680.0
512,8192,28672,5842.0
512,8192,29568,6029.0
512,12800,4096,1280.0
512,14336,3584,1425.0
512,14336,4096,1620.0
512,16384,6144,2450.0
512,20480,7168,3565.0
512,28672,8192,5689.0
512,29568,8192,5751.0
512,32000,4096,3271.0
512,49152,4096,4900.0
512,64000,7168,10797.0
512,100352,6144,14589.0
512,128256,4096,12363.0
512,128256,8192,24511.0
512,152064,8192,28880.0
512,256000,3584,21454.0
1024,1024,4096,218.109
1024,1024,6144,331.743
1024,1024,7168,399.088
1024,1024,8192,446.106
1024,2048,3584,377.603
1024,3584,4096,816.752
1024,3584,14336,2820.0
1024,4096,3584,743.903
1024,4096,4096,847.796
1024,4096,12800,2613.0
1024,4096,14336,2928.0
1024,6144,6144,1840.0
1024,6144,16384,4860.0
1024,7168,7168,2819.0
1024,7168,20480,7980.0
1024,8192,8192,3260.0
1024,8192,28672,11309.0
1024,8192,29568,11667.0
1024,12800,4096,2552.0
1024,14336,3584,2519.0
1024,14336,4096,2869.0
1024,16384,6144,4878.0
1024,20480,7168,7106.0
1024,28672,8192,11221.0
1024,29568,8192,11451.0
1024,32000,4096,6210.0
1024,49152,4096,9485.0
1024,64000,7168,21479.0
1024,100352,6144,28651.0
1024,128256,4096,24509.0
1024,128256,8192,48598.0
1024,152064,8192,57741.0
1024,256000,3584,42753.0
2048,1024,4096,429.897
2048,1024,6144,639.459
2048,1024,7168,744.652
2048,1024,8192,848.95
2048,2048,3584,750.565
2048,3584,4096,1620.0
2048,3584,14336,5600.0
2048,4096,3584,1443.0
2048,4096,4096,1645.0
2048,4096,12800,5074.0
2048,4096,14336,5681.0
2048,6144,6144,3663.0
2048,6144,16384,9691.0
2048,7168,7168,4980.0
2048,7168,20480,14122.0
2048,8192,8192,6490.0
2048,8192,28672,22556.0
2048,8192,29568,23276.0
2048,12800,4096,4940.0
2048,14336,3584,4970.0
2048,14336,4096,5660.0
2048,16384,6144,9639.0
2048,20480,7168,13583.0
2048,28672,8192,21946.0
2048,29568,8192,22776.0
2048,32000,4096,12366.0
2048,49152,4096,18828.0
2048,64000,7168,42550.0
2048,100352,6144,57195.0
2048,128256,4096,48980.0
2048,128256,8192,97077.0
2048,152064,8192,114882.0
2048,256000,3584,85435.0
4096,1024,4096,863.36
4096,1024,6144,1270.0
4096,1024,7168,1480.0
4096,1024,8192,1690.0
4096,2048,3584,1440.0
4096,3584,4096,2860.0
4096,3584,14336,9890.0
4096,4096,3584,2870.0
4096,4096,4096,3270.0
4096,4096,12800,10240.0
4096,4096,14336,11307.0
4096,6144,6144,7280.0
4096,6144,16384,19269.0
4096,7168,7168,9831.0
4096,7168,20480,27895.0
4096,8192,8192,12817.0
4096,8192,28672,44574.0
4096,8192,29568,45980.0
4096,12800,4096,9834.0
4096,14336,3584,9703.0
4096,14336,4096,11053.0
4096,16384,6144,18825.0
4096,20480,7168,27170.0
4096,28672,8192,43282.0
4096,29568,8192,44949.0
4096,32000,4096,24485.0
4096,49152,4096,37567.0
4096,64000,7168,84922.0
4096,100352,6144,114161.0
4096,128256,4096,97705.0
4096,128256,8192,193740.0
4096,152064,8192,229822.0
4096,256000,3584,170659.0
8192,1024,4096,1640.0
8192,1024,6144,2450.0
8192,1024,7168,2850.0
8192,1024,8192,3250.0
8192,2048,3584,2870.0
8192,3584,4096,5653.0
8192,3584,14336,19729.0
8192,4096,3584,5662.0
8192,4096,4096,6461.0
8192,4096,12800,19977.0
8192,4096,14336,22334.0
8192,6144,6144,14048.0
8192,6144,16384,37243.0
8192,7168,7168,19199.0
8192,7168,20480,54528.0
8192,8192,8192,25038.0
8192,8192,28672,88870.0
8192,8192,29568,89913.0
8192,12800,4096,19599.0
8192,14336,3584,19136.0
8192,14336,4096,21820.0
8192,16384,6144,37310.0
8192,20480,7168,54155.0
8192,28672,8192,86808.0
8192,29568,8192,89509.0
8192,32000,4096,48816.0
8192,49152,4096,74911.0
8192,64000,7168,169622.0
8192,100352,6144,228173.0
8192,128256,4096,195306.0
8192,128256,8192,386964.0
8192,152064,8192,458364.0
8192,256000,3584,338927.0
