M,N,K,latency_us
256,4096,4096,202.576
256,4096,12800,617.601
256,4096,14336,688.714
256,6144,6144,403.436
256,6144,16384,1040.0
256,7168,7168,484.089
256,7168,20480,1450.0
256,8192,8192,766.212
256,8192,28672,2170.0
256,8192,29568,2240.0
256,12800,4096,576.168
256,14336,3584,505.219
256,14336,4096,576.021
256,16384,6144,1150.0
256,20480,7168,1340.0
256,28672,8192,2300.0
256,29568,8192,2300.0
256,32000,4096,1540.0
256,49152,4096,1900.0
256,64000,7168,4660.0
256,100352,6144,5749.0
256,128256,4096,5000.0
256,128256,8192,9920.0
256,152064,8192,11450.0
256,256000,3584,8430.0
512,1024,4096,105.537
512,1024,6144,149.911
512,1024,7168,175.213
512,1024,8192,199.133
512,2048,3584,175.237
512,3584,4096,392.625
512,3584,14336,1330.0
512,4096,3584,341.241
512,4096,4096,388.516
512,4096,12800,1190.0
512,4096,14336,1330.0
512,6144,6144,880.368
512,6144,16384,1880.0
512,7168,7168,1020.0
512,7168,20480,3800.0
512,8192,8192,1530.0
512,8192,28672,5410.0
512,8192,29568,5580.0
512,12800,4096,995.933
512,14336,3584,1004.0
512,14336,4096,1148.0
512,16384,6144,2050.0
512,20480,7168,2670.0
512,28672,8192,4560.0
512,29568,8192,4562.0
512,32000,4096,2690.0
512,49152,4096,3860.0
512,64000,7168,8650.0
512,100352,6144,11420.0
512,128256,4096,9610.0
512,128256,8192,18972.0
512,152064,8192,22030.0
512,256000,3584,16515.0
1024,1024,4096,205.187
1024,1024,6144,299.495
1024,1024,7168,346.442
1024,1024,8192,394.241
1024,2048,3584,339.917
1024,3584,4096,598.609
1024,3584,14336,2650.0
1024,4096,3584,678.315
1024,4096,4096,772.578
1024,4096,12800,2370.0
1024,4096,14336,2658.0
1024,6144,6144,1720.0
1024,6144,16384,3820.0
1024,7168,7168,2010.0
1024,7168,20480,5721.0
1024,8192,8192,2702.0
1024,8192,28672,8870.0
1024,8192,29568,9150.0
1024,12800,4096,1930.0
1024,14336,3584,2030.0
1024,14336,4096,2310.0
1024,16384,6144,4010.0
1024,20480,7168,5330.0
1024,28672,8192,8360.0
1024,29568,8192,9118.0
1024,32000,4096,4990.0
1024,49152,4096,7317.0
1024,64000,7168,16625.0
1024,100352,6144,22252.0
1024,128256,4096,18760.0
1024,128256,8192,37205.0
1024,152064,8192,44039.0
1024,256000,3584,32876.0
2048,1024,4096,330.657
2048,1024,6144,485.2
2048,1024,7168,566.196
2048,1024,8192,643.118
2048,2048,3584,680.076
2048,3584,4096,1205.0
2048,3584,14336,4030.0
2048,4096,3584,1191.0
2048,4096,4096,1350.0
2048,4096,12800,4018.0
2048,4096,14336,4488.0
2048,6144,6144,2870.0
2048,6144,16384,7570.0
2048,7168,7168,4000.0
2048,7168,20480,10460.0
2048,8192,8192,5320.0
2048,8192,28672,16710.0
2048,8192,29568,17220.0
2048,12800,4096,3840.0
2048,14336,3584,3710.0
2048,14336,4096,4230.0
2048,16384,6144,7430.0
2048,20480,7168,10650.0
2048,28672,8192,16710.0
2048,29568,8192,17460.0
2048,32000,4096,9573.0
2048,49152,4096,14592.0
2048,64000,7168,32580.0
2048,100352,6144,43930.0
2048,128256,4096,37483.0
2048,128256,8192,74338.0
2048,152064,8192,88043.0
2048,256000,3584,65735.0
4096,1024,4096,633.913
4096,1024,6144,940.759
4096,1024,7168,1090.0
4096,1024,8192,1250.0
4096,2048,3584,1350.0
4096,3584,4096,2130.0
4096,3584,14336,7312.0
4096,4096,3584,2360.0
4096,4096,4096,2690.0
4096,4096,12800,8280.0
4096,4096,14336,9270.0
4096,6144,6144,5720.0
4096,6144,16384,15120.0
4096,7168,7168,7330.0
4096,7168,20480,20787.0
4096,8192,8192,9871.0
4096,8192,28672,34312.0
4096,8192,29568,35385.0
4096,12800,4096,7665.0
4096,14336,3584,7400.0
4096,14336,4096,8435.0
4096,16384,6144,14290.0
4096,20480,7168,21271.0
4096,28672,8192,33383.0
4096,29568,8192,34892.0
4096,32000,4096,18752.0
4096,49152,4096,28763.0
4096,64000,7168,65120.0
4096,100352,6144,87351.0
4096,128256,4096,74958.0
4096,128256,8192,148646.0
4096,152064,8192,175967.0
4096,256000,3584,131176.0
8192,1024,4096,1330.0
8192,1024,6144,1820.0
8192,1024,7168,2120.0
8192,1024,8192,2420.0
8192,2048,3584,2370.0
8192,3584,4096,4230.0
8192,3584,14336,14580.0
8192,4096,3584,4390.0
8192,4096,4096,5000.0
8192,4096,12800,15371.0
8192,4096,14336,17210.0
8192,6144,6144,10860.0
8192,6144,16384,28720.0
8192,7168,7168,14640.0
8192,7168,20480,41540.0
8192,8192,8192,18990.0
8192,8192,28672,66445.0
8192,8192,29568,68521.0
8192,12800,4096,15303.0
8192,14336,3584,14784.0
8192,14336,4096,16843.0
8192,16384,6144,28560.0
8192,20480,7168,41875.0
8192,28672,8192,66758.0
8192,29568,8192,69022.0
8192,32000,4096,37492.0
8192,49152,4096,57459.0
8192,64000,7168,130228.0
8192,100352,6144,174710.0
8192,128256,4096,149833.0
8192,128256,8192,297246.0
8192,152064,8192,351912.0
8192,256000,3584,262047.0
