gpu,prefill_tokens,prefill_ms,decode_ref_ms,T32_ms,T1_ms,runs
H100,64,8.67,6.37,212.5,15.0,10
H100,128,8.86,6.48,216.4,15.3,10
H100,256,12.31,6.39,216.9,18.7,10
H100,512,16.73,6.33,219.4,23.1,10
H100,1024,23.68,6.33,226.2,30.0,10
H100,2048,37.12,6.39,241.6,43.5,10
H100,4096,46.24,7.07,272.4,53.3,10
H100,8192,63.28,8.16,324.5,71.4,10
