M,N,K,op_type
16,4096,14336,down
16,4096,14336,moe_down
16,4608,3584,qkv
16,5120,5112,o_proj
16,5120,17408,down
16,6144,4096,qkv
16,6816,5120,qkv
16,7168,3584,qkv
16,7168,7168,o_proj
16,7168,20480,down
16,8192,8192,o_proj
16,8192,28672,down
16,8192,29568,down
16,9216,7168,qkv
16,10240,8192,qkv
16,12288,4096,gate
16,12288,4096,up
16,12800,4096,gate
16,12800,4096,up
16,14336,3584,gate
16,14336,3584,up
16,14336,4096,gate
16,14336,4096,moe_gate
16,14336,4096,moe_up
16,14336,4096,up
16,17408,5120,gate
16,17408,5120,up
16,18944,3584,gate
16,18944,3584,up
16,20480,7168,gate
16,20480,7168,up
16,28672,8192,gate
16,28672,8192,up
16,29568,8192,gate
16,29568,8192,up
16,32000,4096,lm_head
16,49155,4096,lm_head
16,64000,7168,lm_head
16,128256,4096,lm_head
16,128256,8192,lm_head
16,131072,2880,lm_head
16,152064,3584,lm_head
16,152064,8192,lm_head
16,248320,4096,lm_head
16,248320,5120,lm_head
16,256000,3584,lm_head
32,2880,2880,moe_down
32,2880,2880,moe_gate
32,2880,2880,moe_up
32,2880,2880,o_proj
32,3584,3584,o_proj
32,3584,14336,down
32,3584,18944,down
32,3600,2880,qkv
32,4096,4096,o_proj
32,4096,12288,down
32,4096,12800,down
32,4096,14336,down
32,4096,14336,moe_down
32,4608,3584,qkv
32,5120,5112,o_proj
32,5120,17408,down
32,6144,4096,qkv
32,6816,5120,qkv
32,7168,3584,qkv
32,7168,7168,o_proj
32,7168,20480,down
32,8192,8192,o_proj
32,8192,28672,down
32,8192,29568,down
32,9216,7168,qkv
32,10240,8192,qkv
32,12288,4096,gate
32,12288,4096,up
32,12800,4096,gate
32,12800,4096,up
32,14336,3584,gate
32,14336,3584,up
32,14336,4096,gate
32,14336,4096,moe_gate
32,14336,4096,moe_up
32,14336,4096,up
32,17408,5120,gate
32,17408,5120,up
32,18944,3584,gate
32,18944,3584,up
32,20480,7168,gate
32,20480,7168,up
32,28672,8192,gate
32,28672,8192,up
32,29568,8192,gate
32,29568,8192,up
32,32000,4096,lm_head
32,49155,4096,lm_head
32,64000,7168,lm_head
32,128256,4096,lm_head
32,128256,8192,lm_head
32,131072,2880,lm_head
32,152064,3584,lm_head
32,152064,8192,lm_head
32,248320,4096,lm_head
32,248320,5120,lm_head
32,256000,3584,lm_head
64,2880,2880,moe_down
64,2880,2880,moe_gate
64,2880,2880,moe_up
64,2880,2880,o_proj
64,3584,3584,o_proj
64,3584,14336,down
64,3584,18944,down
64,3600,2880,qkv
64,4096,4096,o_proj
64,4096,12288,down
64,4096,12800,down
64,4096,14336,down
64,4096,14336,moe_down
64,4608,3584,qkv
64,5120,5112,o_proj
64,5120,17408,down
64,6144,4096,qkv
64,6816,5120,qkv
64,7168,3584,qkv
64,7168,7168,o_proj
64,7168,20480,down
64,8192,8192,o_proj
64,8192,28672,down
64,8192,29568,down
64,9216,7168,qkv
64,10240,8192,qkv
64,12288,4096,gate
64,12288,4096,up
64,12800,4096,gate
64,12800,4096,up
64,14336,3584,gate
64,14336,3584,up
64,14336,4096,gate
64,14336,4096,moe_gate
64,14336,4096,moe_up
64,14336,4096,up
64,17408,5120,gate
64,17408,5120,up
64,18944,3584,gate
64,18944,3584,up
64,20480,7168,gate
64,20480,7168,up
64,28672,8192,gate
64,28672,8192,up
64,29568,8192,gate
64,29568,8192,up
64,32000,4096,lm_head
64,49155,4096,lm_head
64,64000,7168,lm_head
64,128256,4096,lm_head
64,128256,8192,lm_head
64,131072,2880,lm_head
64,152064,3584,lm_head
64,152064,8192,lm_head
64,248320,4096,lm_head
64,248320,5120,lm_head
64,256000,3584,lm_head
128,2880,2880,moe_down
128,2880,2880,moe_gate
128,2880,2880,moe_up
128,2880,2880,o_proj
128,3584,3584,o_proj
128,3584,14336,down
128,3584,18944,down
128,3600,2880,qkv
128,4096,4096,o_proj
128,4096,12288,down
128,4096,12800,down
128,4096,14336,down
128,4096,14336,moe_down
128,4608,3584,qkv
128,5120,5112,o_proj
128,5120,17408,down
128,6144,4096,qkv
128,6816,5120,qkv
128,7168,3584,qkv
128,7168,7168,o_proj
128,7168,20480,down
128,8192,8192,o_proj
128,8192,28672,down
128,8192,29568,down
128,9216,7168,qkv
128,10240,8192,qkv
128,12288,4096,gate
128,12288,4096,up
128,12800,4096,gate
128,12800,4096,up
128,14336,3584,gate
128,14336,3584,up
128,14336,4096,gate
128,14336,4096,moe_gate
128,14336,4096,moe_up
128,14336,4096,up
128,17408,5120,gate
128,17408,5120,up
128,18944,3584,gate
128,18944,3584,up
128,20480,7168,gate
128,20480,7168,up
128,28672,8192,gate
128,28672,8192,up
128,29568,8192,gate
128,29568,8192,up
128,32000,4096,lm_head
128,49155,4096,lm_head
128,64000,7168,lm_head
128,128256,4096,lm_head
128,128256,8192,lm_head
128,131072,2880,lm_head
128,152064,3584,lm_head
128,152064,8192,lm_head
128,248320,4096,lm_head
128,248320,5120,lm_head
128,256000,3584,lm_head
256,2880,2880,moe_down
256,2880,2880,moe_gate
256,2880,2880,moe_up
256,2880,2880,o_proj
256,3584,3584,o_proj
256,3584,14336,down
256,3584,18944,down
256,3600,2880,qkv
256,4096,4096,o_proj
256,4096,12288,down
256,4096,12800,down
256,4096,14336,down
256,4096,14336,moe_down
256,4608,3584,qkv
