M,N,K,latency_us
256,1024,6144,16.304
256,1024,7168,18.702
256,1024,8192,19.501
256,2048,3584,13.192
256,3584,4096,19.822
256,3584,14336,62.597
256,4096,3584,19.377
256,4096,4096,19.953
256,4096,12800,63.355
256,4096,14336,74.468
256,6144,6144,34.546
256,6144,16384,103.097
256,7168,7168,51.013
256,7168,20480,140.609
256,8192,8192,72.759
256,8192,28672,214.73
256,8192,29568,220.083
256,12800,4096,57.063
256,14336,3584,52.955
256,14336,4096,65.725
256,16384,6144,102.084
256,20480,7168,142.096
256,28672,8192,236.354
256,29568,8192,236.187
256,32000,4096,131.693
256,49152,4096,189.85
256,64000,7168,392.772
256,100352,6144,503.717
256,128256,4096,449.096
256,128256,8192,840.849
256,152064,8192,962.595
256,256000,3584,814.822
512,1024,4096,13.924
512,1024,6144,20.486
512,1024,7168,21.696
512,1024,8192,22.905
512,2048,3584,17.719
512,3584,4096,27.833
512,3584,14336,97.978
512,4096,3584,28.126
512,4096,4096,31.256
512,4096,12800,98.761
512,4096,14336,109.431
512,6144,6144,75.267
512,6144,16384,178.911
512,7168,7168,97.834
512,7168,20480,266.426
512,8192,8192,122.277
512,8192,28672,375.01
512,8192,29568,386.237
512,12800,4096,109.295
512,14336,3584,109.61
512,14336,4096,125.315
512,16384,6144,179.231
512,20480,7168,253.765
512,28672,8192,375.604
512,29568,8192,408.395
512,32000,4096,234.38
512,49152,4096,334.043
512,64000,7168,703.749
512,100352,6144,903.752
512,128256,4096,831.744
512,128256,8192,1583.0
512,152064,8192,1744.0
512,256000,3584,1390.0
1024,1024,4096,18.691
1024,1024,6144,25.354
1024,1024,7168,27.897
1024,1024,8192,31.071
1024,2048,3584,28.038
1024,3584,4096,49.149
1024,3584,14336,187.421
1024,4096,3584,49.482
1024,4096,4096,55.254
1024,4096,12800,174.415
1024,4096,14336,194.518
1024,6144,6144,139.165
1024,6144,16384,331.143
1024,7168,7168,199.007
1024,7168,20480,511.363
1024,8192,8192,226.026
1024,8192,28672,692.083
1024,8192,29568,720.406
1024,12800,4096,192.426
1024,14336,3584,177.454
1024,14336,4096,201.088
1024,16384,6144,329.441
1024,20480,7168,464.669
1024,28672,8192,708.976
1024,29568,8192,705.427
1024,32000,4096,425.357
1024,49152,4096,616.625
1024,64000,7168,1379.0
1024,100352,6144,1749.0
1024,128256,4096,1538.0
1024,128256,8192,2997.0
1024,152064,8192,3484.0
1024,256000,3584,2627.0
2048,1024,4096,30.98
2048,1024,6144,42.503
2048,1024,7168,49.276
2048,1024,8192,59.42
2048,2048,3584,49.009
2048,3584,4096,113.811
2048,3584,14336,361.721
2048,4096,3584,100.185
2048,4096,4096,116.515
2048,4096,12800,331.801
2048,4096,14336,367.428
2048,6144,6144,247.273
2048,6144,16384,603.101
2048,7168,7168,322.087
2048,7168,20480,836.967
2048,8192,8192,415.702
