M,N,K,latency_us
256,2048,3584,36.639
256,3584,4096,71.255
256,3584,14336,170.949
256,4096,3584,63.836
256,4096,4096,71.476
256,4096,12800,157.556
256,4096,14336,173.462
256,6144,6144,112.575
256,6144,16384,277.907
256,7168,7168,176.294
256,7168,20480,440.989
256,8192,8192,197.505
256,8192,28672,607.168
256,8192,29568,623.467
256,12800,4096,134.999
256,14336,3584,233.087
256,14336,4096,263.351
256,16384,6144,387.648
256,20480,7168,449.952
256,28672,8192,672.474
256,29568,8192,674.895
256,32000,4096,394.79
256,49152,4096,526.4
256,64000,7168,1120.0
256,100352,6144,1540.0
256,128256,4096,1301.0
256,128256,8192,2540.0
256,152064,8192,2810.0
256,256000,3584,2192.0
512,1024,4096,31.416
512,1024,6144,41.027
512,1024,7168,55.537
512,1024,8192,61.533
512,2048,3584,63.68
512,3584,4096,111.884
512,3584,14336,318.179
512,4096,3584,102.707
512,4096,4096,114.108
512,4096,12800,288.408
512,4096,14336,318.977
512,6144,6144,196.397
512,6144,16384,504.611
512,7168,7168,355.652
512,7168,20480,808.834
512,8192,8192,405.45
512,8192,28672,1140.0
512,8192,29568,1170.0
512,12800,4096,266.015
512,14336,3584,347.671
512,14336,4096,393.107
512,16384,6144,579.745
512,20480,7168,674.653
512,28672,8192,1270.0
512,29568,8192,1270.0
512,32000,4096,656.647
512,49152,4096,1040.0
512,64000,7168,2225.0
512,100352,6144,2880.0
512,128256,4096,2470.0
512,128256,8192,4810.0
512,152064,8192,5577.0
512,256000,3584,4340.0
1024,1024,4096,71.242
1024,1024,6144,90.271
1024,1024,7168,100.656
1024,1024,8192,111.117
1024,2048,3584,102.468
1024,3584,4096,263.027
1024,3584,14336,585.248
1024,4096,3584,233.588
1024,4096,4096,263.742
1024,4096,12800,543.197
1024,4096,14336,601.277
1024,6144,6144,388.774
1024,6144,16384,1000.0
1024,7168,7168,592.794
1024,7168,20480,1510.0
1024,8192,8192,674.902
1024,8192,28672,2265.0
1024,8192,29568,2330.0
1024,12800,4096,526.413
1024,14336,3584,576.687
1024,14336,4096,652.932
1024,16384,6144,964.704
1024,20480,7168,1340.0
1024,28672,8192,2280.0
1024,29568,8192,2283.0
1024,32000,4096,1300.0
1024,49152,4096,1950.0
1024,64000,7168,4220.0
1024,100352,6144,5730.0
1024,128256,4096,4920.0
1024,128256,8192,9590.0
1024,152064,8192,11126.0
1024,256000,3584,8551.0
2048,1024,4096,113.306
2048,1024,6144,153.741
2048,1024,7168,177.35
2048,1024,8192,196.761
2048,2048,3584,233.53
2048,3584,4096,392.963
2048,3584,14336,1080.0
2048,4096,3584,348.925
2048,4096,4096,394.777
2048,4096,12800,1020.0
2048,4096,14336,1140.0
2048,6144,6144,771.706
2048,6144,16384,2000.0
2048,7168,7168,1111.0
2048,7168,20480,3110.0
2048,8192,8192,1270.0
2048,8192,28672,4308.0
2048,8192,29568,4430.0
2048,12800,4096,1040.0
2048,14336,3584,1033.0
2048,14336,4096,1170.0
2048,16384,6144,1920.0
2048,20480,7168,2670.0
2048,28672,8192,4310.0
2048,29568,8192,4550.0
2048,32000,4096,2470.0
2048,49152,4096,3760.0
2048,64000,7168,8426.0
2048,100352,6144,11260.0
2048,128256,4096,9700.0
2048,128256,8192,18930.0
2048,152064,8192,22226.0
2048,256000,3584,16980.0
4096,1024,4096,264.088
4096,1024,6144,312.526
4096,1024,7168,359.385
4096,1024,8192,406.544
4096,2048,3584,349.059
4096,3584,4096,652.094
4096,3584,14336,2190.0
4096,4096,3584,580.517
4096,4096,4096,656.877
4096,4096,12800,1960.0
4096,4096,14336,2199.0
4096,6144,6144,1530.0
4096,6144,16384,3990.0
4096,7168,7168,2000.0
4096,7168,20480,5600.0
4096,8192,8192,2537.0
4096,8192,28672,8590.0
4096,8192,29568,8840.0
4096,12800,4096,1950.0
4096,14336,3584,1950.0
4096,14336,4096,2210.0
4096,16384,6144,3650.0
4096,20480,7168,5330.0
4096,28672,8192,8583.0
4096,29568,8192,8840.0
4096,32000,4096,4920.0
4096,49152,4096,7381.0
4096,64000,7168,16620.0
4096,100352,6144,22322.0
4096,128256,4096,19264.0
4096,128256,8192,37600.0
4096,152064,8192,44427.0
4096,256000,3584,33840.0
8192,1024,4096,394.739
8192,1024,6144,579.422
8192,1024,7168,597.772
8192,1024,8192,676.068
8192,2048,3584,580.802
8192,3584,4096,1170.0
8192,3584,14336,3940.0
8192,4096,3584,1150.0
8192,4096,4096,1300.0
8192,4096,12800,3920.0
8192,4096,14336,4378.0
8192,6144,6144,2870.0
8192,6144,16384,7441.0
8192,7168,7168,3780.0
8192,7168,20480,10570.0
8192,8192,8192,4813.0
8192,8192,28672,16925.0
8192,8192,29568,17440.0
8192,12800,4096,3890.0
8192,14336,3584,3880.0
8192,14336,4096,4400.0
8192,16384,6144,7260.0
8192,20480,7168,10640.0
8192,28672,8192,16910.0
8192,29568,8192,17420.0
8192,32000,4096,9700.0
8192,49152,4096,14750.0
8192,64000,7168,33010.0
8192,100352,6144,44450.0
8192,128256,4096,38399.0
8192,128256,8192,74947.0
8192,152064,8192,88825.0
8192,256000,3584,67562.0
