gpu,model,held_out,op,bs,seq,n_tokens,kv_cache_len,d,h,kv,ffn,E,k,duration_us
A100,Llama-8B,False,attn,8,64,512,0,4096,32,8,14336,1,1,407.552
A100,Llama-8B,False,ffn,8,64,512,0,4096,32,8,14336,1,1,913.407
A100,Llama-8B,False,norm_pre,8,64,512,0,4096,32,8,14336,1,1,114.688
A100,Llama-8B,False,norm_post,8,64,512,0,4096,32,8,14336,1,1,69.632
A100,Llama-70B,True,attn,1,128,128,0,8192,64,8,28672,1,1,514.047
A100,Llama-70B,True,ffn,1,128,128,0,8192,64,8,28672,1,1,1630.208
A100,Llama-70B,True,norm_pre,1,128,128,0,8192,64,8,28672,1,1,114.688
A100,Llama-70B,True,norm_post,1,128,128,0,8192,64,8,28672,1,1,62.463
A100,Llama-70B,True,attn,1,256,256,0,8192,64,8,28672,1,1,605.184
A100,Llama-70B,True,ffn,1,256,256,0,8192,64,8,28672,1,1,1694.72
A100,Llama-70B,True,norm_pre,1,256,256,0,8192,64,8,28672,1,1,116.736
A100,Llama-70B,True,norm_post,1,256,256,0,8192,64,8,28672,1,1,65.535
A100,Llama-70B,True,attn,1,512,512,0,8192,64,8,28672,1,1,1020.928
A100,Llama-70B,True,ffn,1,512,512,0,8192,64,8,28672,1,1,3087.359
A100,Llama-70B,True,norm_pre,1,512,512,0,8192,64,8,28672,1,1,133.12
A100,Llama-70B,True,norm_post,1,512,512,0,8192,64,8,28672,1,1,112.64
A100,Llama-70B,True,attn,1,768,768,0,8192,64,8,28672,1,1,1304.576
A100,Llama-70B,True,ffn,1,768,768,0,8192,64,8,28672,1,1,4609.024
A100,Llama-70B,True,norm_pre,1,768,768,0,8192,64,8,28672,1,1,209.92
A100,Llama-70B,True,norm_post,1,768,768,0,8192,64,8,28672,1,1,194.56
A100,Llama-70B,True,attn,1,1024,1024,0,8192,64,8,28672,1,1,1741.824
A100,Llama-70B,True,ffn,1,1024,1024,0,8192,64,8,28672,1,1,5812.223
A100,Llama-70B,True,norm_pre,1,1024,1024,0,8192,64,8,28672,1,1,292.863
A100,Llama-70B,True,norm_post,1,1024,1024,0,8192,64,8,28672,1,1,277.503
A100,Llama-70B,True,attn,2,128,256,0,8192,64,8,28672,1,1,602.111
A100,Llama-70B,True,ffn,2,128,256,0,8192,64,8,28672,1,1,1696.768
A100,Llama-70B,True,norm_pre,2,128,256,0,8192,64,8,28672,1,1,116.736
A100,Llama-70B,True,norm_post,2,128,256,0,8192,64,8,28672,1,1,65.535
A100,Llama-70B,True,attn,2,256,512,0,8192,64,8,28672,1,1,1007.616
A100,Llama-70B,True,ffn,2,256,512,0,8192,64,8,28672,1,1,3120.127
A100,Llama-70B,True,norm_pre,2,256,512,0,8192,64,8,28672,1,1,134.143
A100,Llama-70B,True,norm_post,2,256,512,0,8192,64,8,28672,1,1,113.664
A100,Llama-70B,True,attn,2,512,1024,0,8192,64,8,28672,1,1,1692.672
A100,Llama-70B,True,ffn,2,512,1024,0,8192,64,8,28672,1,1,5871.615
A100,Llama-70B,True,norm_pre,2,512,1024,0,8192,64,8,28672,1,1,292.863
A100,Llama-70B,True,norm_post,2,512,1024,0,8192,64,8,28672,1,1,277.503
A100,Llama-70B,True,attn,4,128,512,0,8192,64,8,28672,1,1,1003.52
A100,Llama-70B,True,ffn,4,128,512,0,8192,64,8,28672,1,1,3123.199
A100,Llama-70B,True,norm_pre,4,128,512,0,8192,64,8,28672,1,1,134.143
A100,Llama-70B,True,norm_post,4,128,512,0,8192,64,8,28672,1,1,112.64
A100,Llama-70B,True,attn,4,256,1024,0,8192,64,8,28672,1,1,1667.072
A100,Llama-70B,True,ffn,4,256,1024,0,8192,64,8,28672,1,1,5871.615
A100,Llama-70B,True,norm_pre,4,256,1024,0,8192,64,8,28672,1,1,291.839
A100,Llama-70B,True,norm_post,4,256,1024,0,8192,64,8,28672,1,1,277.503
A100,Llama-70B,True,attn,4,512,2048,0,8192,64,8,28672,1,1,3156.991
A100,Llama-70B,True,ffn,4,512,2048,0,8192,64,8,28672,1,1,11257.856
A100,Llama-70B,True,norm_pre,4,512,2048,0,8192,64,8,28672,1,1,546.815
A100,Llama-70B,True,norm_post,4,512,2048,0,8192,64,8,28672,1,1,534.528
A100,Llama-70B,True,attn,8,128,1024,0,8192,64,8,28672,1,1,1661.952
A100,Llama-70B,True,ffn,8,128,1024,0,8192,64,8,28672,1,1,5871.615
A100,Llama-70B,True,norm_pre,8,128,1024,0,8192,64,8,28672,1,1,291.839
A100,Llama-70B,True,norm_post,8,128,1024,0,8192,64,8,28672,1,1,277.503
A100,Llama-70B,True,attn,8,256,2048,0,8192,64,8,28672,1,1,3110.912
A100,Llama-70B,True,ffn,8,256,2048,0,8192,64,8,28672,1,1,11383.808
A100,Llama-70B,True,norm_pre,8,256,2048,0,8192,64,8,28672,1,1,547.839
A100,Llama-70B,True,norm_post,8,256,2048,0,8192,64,8,28672,1,1,534.528
A100,Llama-70B,True,attn,8,512,4096,0,8192,64,8,28672,1,1,6296.576
A100,Llama-70B,True,ffn,8,512,4096,0,8192,64,8,28672,1,1,22732.799
A100,Llama-70B,True,norm_pre,8,512,4096,0,8192,64,8,28672,1,1,1033.215
A100,Llama-70B,True,norm_post,8,512,4096,0,8192,64,8,28672,1,1,1019.904
A100,Llama-70B,True,attn,16,128,2048,0,8192,64,8,28672,1,1,3132.416
A100,Llama-70B,True,ffn,16,128,2048,0,8192,64,8,28672,1,1,11277.312
A100,Llama-70B,True,norm_pre,16,128,2048,0,8192,64,8,28672,1,1,548.864
A100,Llama-70B,True,norm_post,16,128,2048,0,8192,64,8,28672,1,1,535.552
A100,Llama-70B,True,attn,16,256,4096,0,8192,64,8,28672,1,1,6208.511
A100,Llama-70B,True,ffn,16,256,4096,0,8192,64,8,28672,1,1,22730.752
A100,Llama-70B,True,norm_pre,16,256,4096,0,8192,64,8,28672,1,1,1034.24
A100,Llama-70B,True,norm_post,16,256,4096,0,8192,64,8,28672,1,1,1018.88
A100,Llama-70B,True,attn,2,64,128,0,8192,64,8,28672,1,1,465.92
A100,Llama-70B,True,ffn,2,64,128,0,8192,64,8,28672,1,1,1483.775
A100,Llama-70B,True,norm_pre,2,64,128,0,8192,64,8,28672,1,1,113.664
A100,Llama-70B,True,norm_post,2,64,128,0,8192,64,8,28672,1,1,49.152
A100,Llama-70B,True,attn,4,64,256,0,8192,64,8,28672,1,1,609.279
A100,Llama-70B,True,ffn,4,64,256,0,8192,64,8,28672,1,1,1711.104
A100,Llama-70B,True,norm_pre,4,64,256,0,8192,64,8,28672,1,1,115.712
A100,Llama-70B,True,norm_post,4,64,256,0,8192,64,8,28672,1,1,66.56
A100,Llama-70B,True,attn,8,64,512,0,8192,64,8,28672,1,1,1002.496
A100,Llama-70B,True,ffn,8,64,512,0,8192,64,8,28672,1,1,3121.151
A100,Llama-70B,True,norm_pre,8,64,512,0,8192,64,8,28672,1,1,133.12
A100,Llama-70B,True,norm_post,8,64,512,0,8192,64,8,28672,1,1,113.664
A100,Llama-3.3-70B,True,attn,1,128,128,0,8192,64,8,28672,1,1,506.879
